mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
409298,"Humeston silt loam, 0 to 2 percent slopes",Humeston,90,Poorly drained,0,20,3.5,6.5,0.22,26.0,15.0,59.0,1.4,21.6,FIELD_0017
409335,"Radford silt loam, 0 to 2 percent slopes",Radford,90,Somewhat poorly drained,0,30,2.0,6.5,0.23,22.5,9.5,68.0,1.5,27.5,FIELD_0017
409336,"Spillville loam, 0 to 2 percent slopes, occasionally flooded",Spillville,90,Somewhat poorly drained,0,20,5.5,6.7,0.14,22.0,41.0,37.0,1.2,19.3,FIELD_0017
409289,"Boone fine sandy loam, 18 to 40 percent slopes",Boone,90,Excessively drained,8,20,0.25,5.5,0.08,2.0,88.0,10.0,1.63,1.3,FIELD_0017
409378,"Clinton silt loam, 5 to 9 percent slopes, eroded",Clinton,90,Moderately well drained,15,28,1.0,5.6,0.19,28.0,3.0,69.0,1.35,22.1,FIELD_0017
409374,"Ladoga silt loam, 9 to 14 percent slopes, eroded",Ladoga,90,Moderately well drained,15,25,1.0,6.0,0.19,28.0,2.0,70.0,1.36,22.1,FIELD_0017
409278,"Colo silt loam, 0 to 2 percent slopes, occasionally flooded, overwash",Colo,90,Poorly drained,18,28,3.5,6.0,0.22,25.0,3.0,72.0,1.28,21.3,FIELD_0017
409377,"Clinton silt loam, 5 to 9 percent slopes",Clinton,90,Moderately well drained,20,38,1.0,5.6,0.18,20.0,3.0,77.0,1.35,16.6,FIELD_0017
409336,"Spillville loam, 0 to 2 percent slopes, occasionally flooded",Spillville,90,Somewhat poorly drained,20,137,3.5,6.7,0.14,22.0,41.0,37.0,1.35,19.0,FIELD_0017
409298,"Humeston silt loam, 0 to 2 percent slopes",Humeston,90,Poorly drained,20,33,3.5,6.5,0.23,26.0,15.0,59.0,1.5,21.6,FIELD_0017
409289,"Boone fine sandy loam, 18 to 40 percent slopes",Boone,90,Excessively drained,20,53,0.25,5.5,0.08,1.5,89.0,9.5,1.63,1.3,FIELD_0017
