mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
451003,"Orwood silt loam, 5 to 9 percent slopes, moderately eroded",Orwood,100,Well drained,0,20,2.5,6.5,0.21,17.0,29.3,53.7,1.38,14.9,FIELD_0016
451002,"Orwood silt loam, 2 to 5 percent slopes",Orwood,100,Well drained,0,20,3.0,6.5,0.21,21.0,26.3,52.7,1.38,18.1,FIELD_0016
451003,"Orwood silt loam, 5 to 9 percent slopes, moderately eroded",Orwood,100,Well drained,20,56,1.5,6.5,0.21,21.0,26.3,52.7,1.38,17.6,FIELD_0016
451002,"Orwood silt loam, 2 to 5 percent slopes",Orwood,100,Well drained,20,25,1.5,6.5,0.21,20.0,25.0,55.0,1.38,17.6,FIELD_0016
451002,"Orwood silt loam, 2 to 5 percent slopes",Orwood,100,Well drained,25,56,1.5,6.5,0.21,23.0,26.0,51.0,1.38,17.6,FIELD_0016
766671,"Ossian silt loam, 0 to 3 percent slopes, occasionally flooded",Ossian,95,Poorly drained,0,20,6.0,7.0,0.23,24.5,9.2,66.3,1.28,21.4,FIELD_0016
451039,"Terril loam, 2 to 5 percent slopes",Terril,95,Moderately well drained,0,20,3.5,6.2,0.21,22.0,33.0,45.0,1.33,19.0,FIELD_0016
1429111,"Kasson loam, 5 to 9 percent slopes",Kasson,95,Moderately well drained,0,20,2.5,6.2,0.14,22.0,41.0,37.0,1.42,18.7,FIELD_0016
450123,"Floyd loam, 1 to 4 percent slopes",Floyd,95,Somewhat poorly drained,0,41,4.0,6.7,0.21,23.0,30.0,47.0,1.35,21.0,FIELD_0016
437401,"Dickinson fine sandy loam, 2 to 5 percent slopes",Dickinson,95,Well drained,0,23,2.0,6.3,0.15,10.0,65.0,25.0,1.53,9.1,FIELD_0016
766671,"Ossian silt loam, 0 to 3 percent slopes, occasionally flooded",Ossian,95,Poorly drained,20,38,6.0,7.0,0.23,24.5,9.2,66.3,1.28,21.4,FIELD_0016
